,Datetime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
67,2011-05-27,29156.7,28222.6,27142.3,26649.3,26135.1,25431.6,24014.4,23716.5,24459.4,25356.8,26448.3,27469.7,28415.5,29098.1,29385.2,29323.4,28927.9,27866.9,26698.4,26304.7,28817.9,30333.3,30357.4,30036.1
68,2011-05-28,28929.1,27534.6,26784.9,26047.8,25878.9,25377.5,24553.0,25731.0,27573.0,29334.6,30507.1,31612.8,32540.4,32829.3,33368.8,33313.0,32949.3,31648.3,29962.4,29041.4,31017.1,32635.8,32307.6,31690.7
69,2011-05-29,30436.0,29017.4,27966.0,27452.3,26969.7,26472.0,25455.3,26569.3,28530.0,30013.5,31186.1,32446.8,33515.6,33498.7,33891.2,34008.0,33855.4,32489.4,30823.1,29578.1,31337.3,33405.0,32800.0,32323.5
70,2011-05-30,30778.8,29337.8,28401.1,27889.0,27534.4,26942.1,25978.3,27106.9,29356.6,30901.3,32235.8,33512.6,34384.6,34720.4,35117.9,34968.8,34568.7,33399.7,31482.5,30011.7,31880.1,33370.0,33334.2,32997.3
71,2011-05-31,31378.0,30023.8,29174.8,28388.2,28246.4,27345.8,26533.4,27512.7,29553.3,31309.1,32656.6,34088.3,35227.6,35408.8,35507.9,35668.0,35319.5,34198.8,32293.3,30696.0,32897.1,34677.5,34383.7,33719.2
72,2011-06-01,32157.2,30568.3,29540.8,29137.2,28927.6,28317.0,27202.5,28121.9,30295.9,31892.0,33217.9,34498.3,35613.9,35709.1,35652.4,35942.8,35668.7,34328.3,32529.6,31186.1,32889.5,34776.1,34538.9,33955.0
73,2011-06-02,32401.1,31070.9,30004.0,29620.3,28907.6,28246.5,27127.4,28171.9,29888.6,31493.4,32957.4,34087.6,35091.0,35042.4,35184.5,34689.7,34122.2,32946.1,31241.1,29996.2,31885.3,33750.4,33394.3,32566.5
74,2011-06-03,31763.7,30464.2,29517.1,28949.7,28541.1,27550.6,26166.9,25839.8,26485.9,27472.5,28643.1,29813.0,30911.9,31203.3,31416.7,31402.5,31007.1,29985.1,28475.1,27700.8,29691.9,31542.4,31568.6,30895.0
75,2011-06-04,30779.8,29455.4,28449.0,27691.0,27321.1,26452.6,25017.0,25204.7,25931.5,26995.9,28136.7,29255.7,30458.7,31117.4,31477.2,31482.2,31069.3,30475.6,28908.4,27690.2,29787.2,31679.5,31758.9,31419.2
76,2011-06-05,30456.3,29099.1,28251.9,27767.1,27307.3,26488.1,25133.2,25320.1,26300.1,27492.1,28773.3,30019.9,31136.8,31780.6,32184.9,32338.4,32235.6,31112.2,29658.0,28423.7,30420.8,32819.6,32706.9,32422.7
77,2011-06-06,31261.9,29925.8,29002.1,28539.1,27876.8,27449.6,26510.0,27708.8,29929.4,31393.0,32801.7,34248.3,35711.1,35835.1,36185.6,36132.6,35743.9,34344.1,32613.1,30913.5,32831.9,34977.8,34589.8,34236.8
78,2011-06-07,32802.5,31330.4,30314.0,29631.0,29312.4,28618.7,27365.1,28581.3,30683.2,32368.9,33820.3,35210.0,36418.9,36370.0,36931.9,36803.3,36452.9,35318.4,33242.5,31745.2,33560.5,35546.3,35304.1,34418.7
79,2011-06-08,33143.9,31675.5,30743.2,29854.4,29609.1,28956.7,27689.7,28891.1,30889.8,32389.9,34003.1,35278.4,36044.8,36341.2,36891.4,36710.2,36297.7,35302.5,33422.8,31734.0,33152.0,35041.8,34628.1,34007.5
80,2011-06-09,32691.7,31419.2,30643.0,30011.8,29621.1,29088.0,27638.5,28458.0,30679.8,32320.5,33439.5,34867.0,35900.4,35960.2,35917.8,35422.7,34885.9,33616.2,31969.0,30487.8,32287.2,34084.6,33542.6,33048.3
81,2011-06-10,32292.2,31003.1,30065.4,29381.5,28735.3,28096.1,26166.8,26183.0,26744.0,27900.3,29071.5,30346.0,31430.5,32068.5,32172.5,32116.2,31774.2,30936.2,29540.2,28533.2,30342.9,32629.6,32837.2,32361.8
82,2011-06-11,30918.9,29764.5,28765.3,28356.0,28015.8,27312.1,26802.6,28037.4,30049.9,31498.8,32738.0,34022.6,35246.5,35614.9,36241.8,36312.7,35705.2,34687.5,32966.8,31207.2,32510.6,34769.1,34301.7,33735.1
83,2011-06-12,32278.9,30932.1,30015.0,29443.7,29011.4,28234.7,27074.1,28166.4,30224.2,31684.6,33058.6,34134.6,35245.9,35422.4,36162.1,35798.6,35600.5,34558.9,32342.6,30939.2,32564.1,34596.6,34042.0,33332.6
84,2011-06-13,32421.8,30781.9,29561.8,28876.1,28704.0,27786.4,26701.7,27594.2,29710.0,31451.0,32630.7,33587.5,34748.3,34934.3,35499.7,35527.5,35170.4,33959.3,32168.8,30433.9,32182.3,34427.0,34124.2,33508.8
85,2011-06-14,32456.9,30999.6,29969.1,29316.1,28645.9,27929.0,26850.3,28020.4,30036.9,31502.1,32692.9,34166.8,35173.4,35474.7,35878.9,35956.3,35676.6,34364.1,32447.7,30630.0,32400.2,34363.8,34046.6,33758.5
86,2011-06-15,32248.5,31095.0,30052.9,29436.2,28937.0,28063.5,26797.7,27862.8,30028.5,31690.2,32642.0,34158.8,35070.7,35591.1,35916.3,36004.8,35668.5,34249.8,32480.4,30682.9,32084.1,34180.9,33921.6,33525.3
87,2011-06-16,32373.2,31273.3,30049.0,29294.9,28636.1,27784.1,26346.1,26351.3,27353.5,28520.8,30142.3,31266.6,32503.1,33220.2,33741.6,33766.3,33460.1,32215.7,30718.8,29326.4,31182.2,33169.1,32943.4,32776.4
88,2011-06-17,31818.8,30906.7,29616.3,29106.7,28260.9,27431.3,26082.9,25857.1,26608.1,27631.1,28996.2,30226.6,31765.8,32249.2,32504.1,32433.3,32285.4,31576.7,30207.8,29057.5,31022.9,33578.7,33822.9,33737.1
89,2011-06-18,32449.0,31104.7,30118.2,29480.3,29151.2,28304.7,27418.3,28710.8,31092.5,33005.1,34151.2,35616.1,37119.3,37400.3,38240.0,37953.3,37784.3,36365.0,34339.7,32519.9,33818.6,36306.1,36018.0,35714.6
90,2011-06-19,34176.2,32808.8,31576.0,31054.1,30449.2,29625.5,28110.6,29470.0,31643.4,33242.1,34806.6,36214.4,37244.2,37569.1,38157.7,38144.5,37861.4,36445.2,34551.5,32709.2,34011.0,36350.9,36102.1,35697.3
91,2011-06-20,34260.5,32789.7,31662.7,31063.2,30488.7,29708.7,28470.9,29433.1,31909.2,33641.3,34984.3,36443.3,37589.1,38067.2,38433.6,38393.9,38253.9,36847.0,34595.1,32570.3,34084.6,36542.6,36575.3,35967.7
92,2011-06-21,34717.4,33234.3,31966.2,31305.9,30774.3,29829.1,28363.3,29672.1,31778.3,33372.2,35009.0,36319.6,37308.0,37624.3,38125.7,38336.1,38002.6,36559.7,34591.1,32575.8,33920.7,36283.1,36432.6,35836.0
93,2011-06-22,34298.9,32991.6,31777.6,31155.6,30649.1,29638.0,28231.1,29295.6,31414.0,32877.1,34340.7,35482.8,36689.7,37242.9,37818.8,37557.5,37372.1,36261.2,34328.1,32382.8,33962.4,35955.8,35559.9,35259.4
94,2011-06-23,34012.2,32597.6,31607.2,30945.8,30354.4,29494.9,28124.7,28952.7,30601.7,32391.5,33673.9,35024.6,35898.1,35752.5,35885.0,35951.8,35486.4,34393.1,32454.0,31122.9,32280.4,34324.3,33742.0,33244.1
95,2011-06-24,32197.6,31137.3,30043.1,29437.1,29201.6,28197.4,26630.4,26439.5,26958.9,27925.9,28820.3,30007.8,31043.3,31892.7,32639.3,32396.0,32234.6,31462.9,29819.7,28825.1,30725.5,32769.7,33069.5,32626.1
96,2011-06-25,31528.6,30349.1,29594.3,28817.9,28741.9,27905.4,26950.8,28299.8,30508.7,32329.4,33475.9,34762.5,35999.0,35996.5,36721.1,36984.8,36521.0,35548.6,33438.5,31847.6,33399.4,35743.1,35335.7,34822.2
97,2011-06-26,33254.9,31585.9,30764.1,30390.1,29987.7,29244.5,28060.0,29255.9,31107.6,33023.0,34164.3,35626.3,36772.3,36919.0,37511.9,37643.1,37138.1,35877.6,34077.2,32239.1,33559.3,35890.9,35854.9,35464.2
98,2011-06-27,34045.7,32379.1,31480.9,30612.1,30094.8,29359.7,28329.3,29169.6,31461.0,33083.0,34343.6,35865.0,37073.0,37336.0,38108.0,38222.4,37823.3,36334.5,34480.5,32508.2,34096.4,36516.9,36285.9,35946.6
99,2011-06-28,34500.3,32984.2,31947.4,31297.7,30577.4,29969.0,28514.3,29548.8,31304.8,33302.4,34835.4,36222.1,37713.6,37930.8,38468.6,38578.1,38439.7,36995.9,34906.0,33060.3,34613.2,36941.3,37010.4,36502.0
100,2011-06-29,34974.2,33348.5,32130.1,31505.5,31039.1,30111.5,28897.2,29896.8,31987.5,33591.8,35094.0,36709.6,37983.1,38175.6,39020.0,38810.9,38590.3,37156.5,35090.5,33182.6,34466.5,36540.3,36316.0,36138.6
101,2011-06-30,35105.2,33645.4,32492.9,31840.5,30870.8,30043.5,28436.0,28453.1,29618.0,30892.9,32533.4,33753.9,34792.7,35339.2,35668.9,35494.8,34967.4,34073.1,32321.3,31183.2,32589.3,34692.8,34746.3,34625.5
102,2011-07-01,33922.3,32803.7,31800.2,30894.7,30412.2,29288.6,27942.9,27452.7,28118.0,29170.8,30410.7,31588.6,32731.7,33435.4,33941.5,33574.3,33594.8,32775.2,31197.1,30456.7,32301.9,34350.3,34899.4,34752.9
103,2011-07-02,33837.9,32551.3,31602.9,30782.1,30307.9,29492.8,28433.6,30003.9,31999.0,33907.2,35408.0,36819.5,38175.8,38533.0,39005.8,39086.2,38830.9,37117.1,35060.9,33146.4,34793.8,36912.3,37034.8,36578.1
104,2011-07-03,35300.4,33801.1,32643.2,32020.2,31351.8,30724.3,29250.8,30262.6,32304.1,33849.7,35465.0,36793.8,37962.2,38324.8,38981.0,39063.0,38624.9,37071.8,34970.2,32854.0,34551.4,36832.0,36876.8,36392.0
105,2011-07-04,35058.3,33475.1,32378.0,31695.2,31112.5,30459.5,28921.5,29961.5,32044.6,33849.3,35505.1,36818.1,37947.2,38026.3,38881.2,39065.1,38447.1,37289.4,35032.4,33249.1,34607.3,36983.3,36730.1,36496.7
106,2011-07-05,35024.0,33733.2,32542.5,31861.5,31480.3,30433.7,29287.9,30093.7,32115.2,33893.6,35127.3,36628.3,37956.7,38488.8,39185.7,39325.6,38829.0,37648.2,35475.4,33417.3,34887.8,37098.0,37104.2,36621.9
